,0
1999-01-15,0.0325
1999-02-15,0.02
1999-03-15,0.05800000000000001
1999-04-15,0.05
1999-05-15,0.04
1999-06-15,0.05
1999-07-15,0.042499999999999996
1999-08-15,0.016
1999-09-15,0.021249999999999998
1999-10-15,0.011250000000000001
1999-11-15,0.026000000000000002
1999-12-15,0.015
2000-01-15,0.040999999999999995
2000-02-15,0.026250000000000002
2000-03-15,0.01875
2000-04-15,0.0125
2000-05-15,0.024
2000-06-15,0.023749999999999997
2000-07-15,0.026000000000000002
2000-08-15,0.01
2000-09-15,0.01
2000-10-15,0.026000000000000002
2000-11-15,0.0375
2000-12-15,0.021249999999999998
2001-01-15,0.02
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,0.0775
2002-05-15,0.0325
2002-06-15,0.105
2002-07-15,0.088
2002-08-15,0.055
2002-09-15,0.036
2002-10-15,0.030000000000000002
2002-11-15,0.0625
2002-12-15,0.0
2003-01-15,0.08
