,0
2011-01-15,0.23709677419354838
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,0.48650000000000004
2011-06-15,0.5239333333333334
2011-07-15,0.4848064516129032
2011-08-15,0.40145161290322584
2011-09-15,0.2511333333333333
2011-10-15,0.3942608695652174
2011-11-15,0.1831724137931034
2011-12-15,0.12861290322580646
2012-01-15,0.14809090909090908
2012-02-15,0.18678260869565214
2012-03-15,0.6223793103448275
2012-04-15,0.6888666666666665
2012-05-15,0.9080357142857141
2012-06-15,0.264
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,0.15233333333333335
2012-12-15,0.09412903225806449
