,0
2001-01-15,5.539
2001-02-15,5.162
2001-03-15,5.4085
2001-04-15,5.2780000000000005
2001-05-15,0.6525
2001-06-15,3.1029999999999998
2001-07-15,2.5085
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,0.58
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,4.426666666666667
2004-02-15,2.0367499999999996
2004-03-15,14.429333333333332
2004-04-15,15.38625
2004-05-15,11.089666666666668
2004-06-15,10.9505
2004-07-15,9.578
2004-08-15,7.7094
2004-09-15,4.2212499999999995
2004-10-15,5.24375
2004-11-15,4.858
2004-12-15,4.169
2005-01-15,3.2321999999999997
2005-02-15,4.74875
2005-03-15,3.4727499999999996
2005-04-15,2.13675
2005-05-15,1.8774000000000002
2005-06-15,2.66625
2005-07-15,2.026
2005-08-15,0.9071999999999999
2005-09-15,0.9045000000000001
2005-10-15,1.1782
2005-11-15,2.826
2005-12-15,2.1975
2006-01-15,3.286
