,0
2003-04-15,0.6236828999999999
2003-05-15,1.499099
2003-06-15,1.1632300000000002
2003-07-15,
2003-08-15,1.2129894
2003-09-15,
2003-10-15,
2003-11-15,1.215094
2003-12-15,0.67068695
2004-01-15,0.4896858
2004-02-15,0.8699289
2004-03-15,0.60965165
2004-04-15,1.2558194999999999
2004-05-15,1.4039599999999999
2004-06-15,1.3280064999999999
2004-07-15,
2004-08-15,0.89558475
2004-09-15,1.028775
2004-10-15,
2004-11-15,0.8609873
2004-12-15,
2005-01-15,0.4809822
2005-02-15,0.49124235
2005-03-15,
2005-04-15,0.94746715
2005-05-15,1.3953024333333335
2005-06-15,2.2073644999999997
2005-07-15,
2005-08-15,1.5904862
2005-09-15,1.284103
2005-10-15,0.9879225
2005-11-15,0.74622305
