,0
2000-06-30,160.96000000000004
2001-07-01,166.79999999999995
2002-07-01,158.32100000000003
2003-07-01,184.552
2004-06-30,166.32000000000005
2005-07-01,171.228
2006-07-01,181.19679999999997
2007-07-01,151.997
2008-06-30,152.0932
2009-07-01,143.87719999999993
2010-07-01,167.76439999999994
2011-07-01,157.60079999999996
2012-06-30,146.733
2013-07-01,157.12239999999997
2014-07-01,140.79319999999998
2015-07-01,169.60860000000005
2016-06-30,143.439
2017-07-01,147.8392
2018-07-01,159.2474
2019-07-01,157.1712
