,0
2018-01-01,86.438
2018-01-02,85.401
2018-01-03,93.163
2018-01-04,91.407
2018-01-05,89.671
2018-01-06,88.793
2018-01-07,90.549
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,81.969
2018-01-12,82.667
2018-01-13,85.002
2018-01-14,84.722
2018-01-15,85.381
2018-01-16,83.764
2018-01-17,80.253
2018-01-18,80.552
2018-01-19,90.509
2018-01-20,92.285
2018-01-21,82.847
2018-01-22,81.33
2018-01-23,84.882
2018-01-24,83.146
2018-01-25,87.735
2018-01-26,81.909
2018-01-27,81.869
2018-01-28,81.989
2018-01-29,76.202
2018-01-30,78.337
2018-01-31,78.158
2018-02-01,81.809
2018-02-02,81.35
2018-02-03,91.127
2018-02-04,85.78
2018-02-05,84.563
2018-02-06,89.91
2018-02-07,83.126
2018-02-08,81.29
2018-02-09,83.605
2018-02-10,84.463
2018-02-11,84.962
2018-02-12,84.164
2018-02-13,84.822
2018-02-14,84.722
2018-02-15,84.922
2018-02-16,87.117
2018-02-17,81.57
2018-02-18,90.05
2018-02-19,91.067
2018-02-20,89.711
2018-02-21,90.289
2018-02-22,91.067
2018-02-23,94.001
2018-02-24,88.713
2018-02-25,87.536
2018-02-26,86.259
2018-02-27,96.894
2018-02-28,95.697
2018-03-01,103.518
2018-03-02,93.562
2018-03-03,94.06
2018-03-04,92.823
2018-03-05,91.147
2018-03-06,91.327
2018-03-07,87.715
2018-03-08,84.902
2018-03-09,88.394
2018-03-10,87.037
2018-03-11,84.243
2018-03-12,84.682
2018-03-13,85.56
2018-03-14,92.424
2018-03-15,96.156
2018-03-16,102.082
2018-03-17,104.117
2018-03-18,108.227
2018-03-19,102.66
2018-03-20,101.543
2018-03-21,100.086
2018-03-22,97.892
2018-03-23,95.597
2018-03-24,87.396
2018-03-25,81.55
2018-03-26,78.936
2018-03-27,92.504
2018-03-28,89.092
2018-03-29,88.573
2018-03-30,92.843
2018-03-31,92.125
2018-04-01,88.932
2018-04-02,87.256
2018-04-03,85.74
2018-04-04,73.628
2018-04-05,79.534
2018-04-06,80.931
2018-04-07,100.725
2018-04-08,98.211
2018-04-09,105.953
2018-04-10,100.845
2018-04-11,105.015
2018-04-12,97.293
2018-04-13,89.331
2018-04-14,98.969
2018-04-15,106.272
2018-04-16,110.861
2018-04-17,108.866
2018-04-18,118.124
2018-04-19,109.784
2018-04-20,113.236
2018-04-21,107.928
2018-04-22,109.824
2018-04-23,110.223
2018-04-24,109.006
2018-04-25,102.96
2018-04-26,104.177
2018-04-27,101.543
2018-04-28,103.538
2018-04-29,84.463
2018-04-30,74.067
2018-05-01,103.678
2018-05-02,96.894
2018-05-03,100.166
2018-05-04,98.67
2018-05-05,98.171
2018-05-06,72.291
2018-05-07,92.265
2018-05-08,87.915
2018-05-09,102.501
2018-05-10,94.06
2018-05-11,101.363
2018-05-12,101.703
2018-05-13,102.84
2018-05-14,100.186
2018-05-15,102.401
2018-05-16,97.971
2018-05-17,98.67
2018-05-18,101.124
2018-05-19,102.261
2018-05-20,94.619
2018-05-21,
2018-05-22,84.543
2018-05-23,103.239
2018-05-24,87.336
2018-05-25,76.501
2018-05-26,87.256
2018-05-27,79.973
2018-05-28,93.621
2018-05-29,111.819
2018-05-30,95.517
2018-05-31,105.214
2018-06-01,111.061
2018-06-02,110.342
2018-06-03,95.537
2018-06-04,121.596
2018-06-05,110.063
2018-06-06,110.881
2018-06-07,115.989
2018-06-08,104.037
2018-06-09,99.248
2018-06-10,97.293
2018-06-11,94.918
2018-06-12,103.538
2018-06-13,109.385
2018-06-14,109.205
2018-06-15,90.988
2018-06-16,86.119
2018-06-17,101.942
2018-06-18,102.541
2018-06-19,100.007
2018-06-20,105.594
2018-06-21,114.632
2018-06-22,129.238
2018-06-23,81.629
2018-06-24,87.376
2018-06-25,81.49
2018-06-26,78.597
2018-06-27,91.965
2018-06-28,93.083
2018-06-29,90.928
2018-06-30,89.192
2018-07-01,94.479
2018-07-02,88.454
2018-07-03,92.823
2018-07-04,89.611
2018-07-05,106.671
2018-07-06,106.132
2018-07-07,94.799
2018-07-08,99.727
2018-07-09,76.901
2018-07-10,96.116
2018-07-11,93.442
2018-07-12,96.894
2018-07-13,92.883
2018-07-14,95.258
2018-07-15,103.459
2018-07-16,106.132
2018-07-17,108.746
2018-07-18,93.202
2018-07-19,100.446
2018-07-20,94.839
2018-07-21,98.969
2018-07-22,97.872
2018-07-23,74.346
2018-07-24,76.801
2018-07-25,81.55
2018-07-26,
2018-07-27,79.574
2018-07-28,76.641
2018-07-29,110.522
2018-07-30,125.946
2018-07-31,116.069
2018-08-01,111.699
2018-08-02,96.016
2018-08-03,85.64
2018-08-04,68.799
2018-08-05,68.779
2018-08-06,85.999
2018-08-07,87.476
2018-08-08,95.956
2018-08-09,89.351
2018-08-10,97.692
2018-08-11,93.442
2018-08-12,93.063
2018-08-13,91.427
2018-08-14,91.047
2018-08-15,96.036
2018-08-16,97.153
2018-08-17,91.886
2018-08-18,90.289
2018-08-19,90.05
2018-08-20,87.975
2018-08-21,87.995
2018-08-22,87.057
2018-08-23,74.287
2018-08-24,74.386
2018-08-25,81.769
2018-08-26,80.652
2018-08-27,80.193
2018-08-28,79.295
2018-08-29,87.356
2018-08-30,103.279
2018-08-31,96.415
2018-09-01,76.641
2018-09-02,86.159
2018-09-03,85.241
2018-09-04,87.795
2018-09-05,89.571
2018-09-06,89.371
2018-09-07,89.631
2018-09-08,86.638
2018-09-09,100.685
2018-09-10,104.416
2018-09-11,102.062
2018-09-12,95.976
2018-09-13,103.179
2018-09-14,115.65
2018-09-15,116.289
2018-09-16,111.659
2018-09-17,92.145
2018-09-18,81.131
2018-09-19,85.361
2018-09-20,84.263
2018-09-21,85.461
2018-09-22,84.343
2018-09-23,88.374
2018-09-24,83.585
2018-09-25,81.689
2018-09-26,80.472
2018-09-27,87.635
2018-09-28,92.105
2018-09-29,79.475
2018-09-30,81.789
2018-10-01,81.47
2018-10-02,72.391
2018-10-03,76.242
2018-10-04,74.287
2018-10-05,89.85
2018-10-06,89.81
2018-10-07,87.915
2018-10-08,83.625
2018-10-09,95.058
2018-10-10,92.783
2018-10-11,85.76
2018-10-12,91.726
2018-10-13,83.585
2018-10-14,81.41
2018-10-15,89.631
2018-10-16,89.731
2018-10-17,92.384
2018-10-18,84.283
2018-10-19,83.186
2018-10-20,77.499
2018-10-21,79.594
2018-10-22,70.276
2018-10-23,73.449
2018-10-24,74.466
2018-10-25,78.916
2018-10-26,82.906
2018-10-27,86.638
2018-10-28,76.142
2018-10-29,71.932
2018-10-30,80.572
2018-10-31,78.038
2018-11-01,70.535
2018-11-02,71.673
2018-11-03,76.781
2018-11-04,75.444
2018-11-05,79.494
2018-11-06,80.213
2018-11-07,83.804
2018-11-08,79.993
2018-11-09,76.621
2018-11-10,84.842
2018-11-11,92.364
2018-11-12,81.969
2018-11-13,83.006
2018-11-14,83.585
2018-11-15,77.339
2018-11-16,76.003
2018-11-17,83.206
2018-11-18,89.212
2018-11-19,96.235
2018-11-20,88.114
2018-11-21,87.276
2018-11-22,75.145
2018-11-23,79.634
2018-11-24,90.01
2018-11-25,84.962
2018-11-26,82.228
2018-11-27,80.712
2018-11-28,90.708
2018-11-29,78.317
2018-11-30,79.714
2018-12-01,71.513
2018-12-02,77.719
2018-12-03,75.145
2018-12-04,79.894
2018-12-05,79.255
2018-12-06,83.944
2018-12-07,88.733
2018-12-08,86.498
2018-12-09,90.628
2018-12-10,87.715
2018-12-11,
2018-12-12,85.62
2018-12-13,77.759
