,0
2001-03-03,3.0
2001-03-04,
2001-03-05,
2001-03-06,8.0
2001-03-07,5.0
2001-03-08,2.0
2001-03-09,2.0
2001-03-10,3.0
2001-03-11,6.0
2001-03-12,4.0
2001-03-13,5.0
2001-03-14,6.0
2001-03-15,13.0
2001-03-16,6.0
2001-03-17,5.0
2001-03-18,5.0
2001-03-19,5.0
2001-03-20,6.0
2001-03-21,5.0
2001-03-22,8.0
2001-03-23,40.0
2001-03-24,2.0
2001-03-25,2.0
2001-03-26,3.0
2001-03-27,4.0
2001-03-28,4.0
2001-03-29,6.0
2001-03-30,
2001-03-31,5.0
2001-04-01,8.0
2001-04-02,16.0
2001-04-03,10.0
2001-04-04,
2001-04-05,7.0
2001-04-06,
2001-04-07,7.0
2001-04-08,6.0
2001-04-09,8.0
2001-04-10,6.0
2001-04-11,10.0
2001-04-12,12.0
2001-04-13,10.0
2001-04-14,10.0
2001-04-15,9.0
2001-04-16,18.0
2001-04-17,
2001-04-18,14.0
2001-04-19,12.0
2001-04-20,5.0
2001-04-21,6.0
2001-04-22,8.0
2001-04-23,
2001-04-24,10.0
2001-04-25,8.0
2001-04-26,16.0
2001-04-27,9.0
2001-04-28,14.0
2001-04-29,8.0
2001-04-30,3.0
2001-05-01,5.0
2001-05-02,6.0
2001-05-03,7.0
2001-05-04,6.0
2001-05-05,
2001-05-06,4.0
2001-05-07,7.0
2001-05-08,10.0
2001-05-09,6.0
2001-05-10,9.0
2001-05-11,16.0
2001-05-12,
2001-05-13,7.0
2001-05-14,5.0
2001-05-15,6.0
2001-05-16,7.0
2001-05-17,6.0
2001-05-18,9.0
2001-05-19,11.0
2001-05-20,7.0
2001-05-21,12.0
2001-05-22,9.0
2001-05-23,13.0
2001-05-24,21.0
2001-05-25,16.0
2001-05-26,13.0
2001-05-27,17.0
2001-05-28,26.0
2001-05-29,
2001-05-30,32.0
2001-05-31,
2001-06-01,22.0
2001-06-02,20.0
2001-06-03,17.0
2001-06-04,19.0
2001-06-05,18.0
2001-06-06,
2001-06-07,22.0
2001-06-08,24.0
2001-06-09,8.0
2001-06-10,6.0
2001-06-11,4.0
2001-06-12,9.0
2001-06-13,13.0
2001-06-14,24.0
2001-06-15,14.0
2001-06-16,8.0
2001-06-17,11.0
2001-06-18,12.0
2001-06-19,11.0
2001-06-20,18.0
2001-06-21,22.0
2001-06-22,31.0
2001-06-23,30.0
2001-06-24,38.0
2001-06-25,35.0
2001-06-26,30.0
2001-06-27,33.0
2001-06-28,30.0
2001-06-29,24.0
2001-06-30,30.0
2001-07-01,25.0
2001-07-02,25.0
2001-07-03,26.0
2001-07-04,15.0
2001-07-05,
2001-07-06,
2001-07-07,15.0
2001-07-08,12.0
2001-07-09,8.0
2001-07-10,13.0
2001-07-11,29.0
2001-07-12,27.0
2001-07-13,13.0
2001-07-14,4.0
2001-07-15,4.0
2001-07-16,16.0
2001-07-17,10.0
2001-07-18,13.0
2001-07-19,12.0
2001-07-20,15.0
2001-07-21,22.0
2001-07-22,24.0
2001-07-23,33.0
2001-07-24,36.0
2001-07-25,39.0
2001-07-26,38.0
2001-07-27,19.0
