,0
2015-03-15,
2015-04-15,28.355555555555558
2015-05-15,28.571188942565758
2015-06-15,22.66604010025063
2015-07-15,32.194345276042334
2015-08-15,33.909946236559136
2015-09-15,
2015-10-15,25.870600414078673
2015-11-15,41.87374338624338
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,36.941287878787875
2016-05-15,26.97983870967742
2016-06-15,
2016-07-15,37.89855072463769
2016-08-15,34.587365591397855
2016-09-15,
2016-10-15,22.864583333333332
2016-11-15,31.174999999999997
2016-12-15,46.40104166666668
2017-01-15,
2017-02-15,52.4375
2017-03-15,33.072755960729324
2017-04-15,
2017-05-15,
2017-06-15,26.580555555555556
2017-07-15,32.74596870520784
2017-08-15,
2017-09-15,
2017-10-15,24.42524175094116
2017-11-15,31.626033057851238
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,33.497837774661065
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,24.366935483870975
2018-08-15,28.978864734299517
2018-09-15,
2018-10-15,28.32150023151721
2018-11-15,22.20163043478261
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,22.22572463768116
2019-04-15,23.57222222222222
2019-05-15,
2019-06-15,
2019-07-15,20.23518649225171
2019-08-15,24.552777777777784
2019-09-15,
2019-10-15,25.691498316498322
2019-11-15,19.413828502415456
2019-12-15,
