,0
2002-01-01,10.7
2002-01-02,33.8
2002-01-03,16.7
2002-01-04,25.8
2002-01-05,47.7
2002-01-06,44.0
2002-01-07,54.4
2002-01-08,50.6
2002-01-09,49.3
2002-01-10,55.2
2002-01-11,51.1
2002-01-12,54.1
2002-01-13,46.9
2002-01-14,51.6
2002-01-15,38.9
2002-01-16,39.3
2002-01-17,35.0
2002-01-18,39.1
2002-01-19,52.5
2002-01-20,41.1
2002-01-21,48.6
2002-01-22,72.3
2002-01-23,43.4
2002-01-24,16.9
2002-01-25,31.7
2002-01-26,39.4
2002-01-27,40.0
2002-01-28,42.7
2002-01-29,55.4
2002-01-30,55.1
2002-01-31,57.6
2002-02-01,46.0
2002-02-02,42.2
2002-02-03,42.9
2002-02-04,47.3
2002-02-05,53.4
2002-02-06,16.7
2002-02-07,25.9
2002-02-08,30.7
2002-02-09,34.2
2002-02-10,30.3
2002-02-11,39.3
2002-02-12,34.5
2002-02-13,42.5
2002-02-14,46.7
2002-02-15,36.0
2002-02-16,40.4
2002-02-17,38.6
2002-02-18,13.6
2002-02-19,30.3
2002-02-20,25.2
2002-02-21,20.0
2002-02-22,24.1
2002-02-23,35.7
2002-02-24,27.7
2002-02-25,25.8
2002-02-26,32.2
2002-02-27,43.7
2002-02-28,52.8
2002-03-01,47.3
2002-03-02,42.6
2002-03-03,42.6
2002-03-04,35.2
2002-03-05,48.6
2002-03-06,26.6
2002-03-07,43.7
2002-03-08,42.0
2002-03-09,31.6
2002-03-10,19.7
2002-03-11,19.8
2002-03-12,56.6
2002-03-13,43.8
2002-03-14,47.7
2002-03-15,52.6
2002-03-16,59.3
2002-03-17,59.8
2002-03-18,43.2
2002-03-19,40.3
2002-03-20,49.7
2002-03-21,49.1
2002-03-22,31.0
2002-03-23,12.5
2002-03-24,13.0
2002-03-25,21.0
2002-03-26,31.6
2002-03-27,27.7
2002-03-28,36.4
2002-03-29,47.2
2002-03-30,40.0
2002-03-31,47.7
2002-04-01,55.2
2002-04-02,45.8
2002-04-03,33.8
2002-04-04,21.9
2002-04-05,56.8
2002-04-06,35.1
2002-04-07,33.8
2002-04-08,48.8
2002-04-09,48.4
2002-04-10,33.1
2002-04-11,60.6
2002-04-12,74.2
2002-04-13,58.2
2002-04-14,27.2
2002-04-15,30.4
2002-04-16,30.5
2002-04-17,22.5
2002-04-18,29.0
2002-04-19,33.8
2002-04-20,33.0
2002-04-21,26.1
2002-04-22,37.1
2002-04-23,28.1
2002-04-24,24.4
2002-04-25,20.3
2002-04-26,25.4
2002-04-27,18.2
2002-04-28,28.1
2002-04-29,26.4
2002-04-30,30.6
2002-05-01,31.5
2002-05-02,43.0
2002-05-03,41.8
2002-05-04,21.8
2002-05-05,20.5
2002-05-06,24.4
2002-05-07,27.7
2002-05-08,20.1
2002-05-09,25.2
2002-05-10,48.6
2002-05-11,42.3
2002-05-12,17.1
2002-05-13,26.7
2002-05-14,29.9
