,0
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,27.556979069901583
2014-02-15,16.272005722150517
2014-03-15,27.07397128113432
2014-04-15,25.760522612773695
2014-05-15,13.911969346156097
2014-06-15,14.521218780280375
2014-07-15,16.31886840670574
2014-08-15,10.871524500907439
2014-09-15,19.5839649122807
2014-10-15,14.273975757575759
2014-11-15,20.389482125603866
2014-12-15,17.627395804952908
2015-01-15,16.975376344086026
2015-02-15,20.74917033690946
2015-03-15,22.224752688172043
2015-04-15,14.359115442278862
2015-05-15,11.974405627098472
2015-06-15,12.311075098814229
2015-07-15,14.0074848059841
2015-08-15,15.438633317749732
2015-09-15,9.580720639680159
2015-10-15,17.8063440860215
2015-11-15,12.435206851119894
2015-12-15,15.995714285714287
2016-01-15,22.025736325385697
2016-02-15,12.658654244306419
2016-03-15,16.00144192880518
2016-04-15,12.123998926462695
2016-05-15,15.285507914245645
2016-06-15,14.144692063492062
2016-07-15,12.273280830747867
2016-08-15,13.201552744839706
2016-09-15,17.528452449965492
2016-10-15,11.574946236559141
2016-11-15,11.844626262626264
2016-12-15,20.698402135774213
2017-01-15,25.243648406731108
2017-02-15,28.181619047619044
2017-03-15,18.633646563814867
2017-04-15,13.882357457634816
2017-05-15,15.849952361481595
2017-06-15,12.612260038811762
2017-07-15,11.685342995169085
2017-08-15,12.334236838430387
2017-09-15,13.670887296611435
2017-10-15,15.430923796166434
2017-11-15,14.366661522052828
2017-12-15,10.605381642512079
2018-01-15,15.659396914446004
2018-02-15,22.529753086419753
2018-03-15,24.366344086021506
2018-04-15,27.42568806073154
2018-05-15,20.41119495091164
2018-06-15,14.254161616161618
2018-07-15,12.405138407027387
2018-08-15,12.262594670406731
2018-09-15,12.335295352323838
2018-10-15,16.648263419609844
2018-11-15,20.326701173222908
2018-12-15,15.60935483870968
