,0
2009-01-01,148.665
2009-01-02,14.291
2009-01-03,16.495
2009-01-04,9.094
2009-01-05,5.951
2009-01-06,13.965
2009-01-07,6.91
2009-01-08,19.636
2009-01-09,38.369
2009-01-10,70.928
2009-01-11,60.414
2009-01-12,32.371
2009-01-13,24.645
2009-01-14,13.949
2009-01-15,26.849
2009-01-16,37.384
2009-01-17,24.789
2009-01-18,8.748
2009-01-19,7.365
2009-01-20,9.791
2009-01-21,23.274
2009-01-22,9.927
2009-01-23,9.003
2009-01-24,9.03
2009-01-25,15.405
2009-01-26,26.373
2009-01-27,44.12
2009-01-28,46.685
2009-01-29,37.26
2009-01-30,36.304
2009-01-31,23.639
2009-02-01,13.539
2009-02-02,27.179
2009-02-03,33.243
2009-02-04,44.87
2009-02-05,36.874
2009-02-06,21.62
2009-02-07,5.679
2009-02-08,6.04
2009-02-09,16.409
2009-02-10,8.414
2009-02-11,7.862
2009-02-12,7.201
2009-02-13,6.158
2009-02-14,7.191
2009-02-15,16.437
2009-02-16,10.921
2009-02-17,12.217
2009-02-18,19.617
2009-02-19,23.397
2009-02-20,6.041
2009-02-21,15.651
2009-02-22,12.28
2009-02-23,7.733
2009-02-24,9.263
2009-02-25,29.151
2009-02-26,17.699
2009-02-27,17.013
2009-02-28,19.291
2009-03-01,41.501
2009-03-02,20.467
2009-03-03,26.012
2009-03-04,16.158
2009-03-05,9.012
2009-03-06,6.666
2009-03-07,16.358
2009-03-08,9.013
2009-03-09,8.495
2009-03-10,8.433
2009-03-11,12.327
2009-03-12,18.688
2009-03-13,15.859
2009-03-14,26.426
2009-03-15,15.072
2009-03-16,17.618
2009-03-17,13.894
2009-03-18,10.825
2009-03-19,20.771
2009-03-20,17.761
2009-03-21,44.35
2009-03-22,20.842
2009-03-23,13.68
2009-03-24,8.678
2009-03-25,9.81
2009-03-26,11.658
2009-03-27,11.684
2009-03-28,13.216
2009-03-29,5.281
2009-03-30,11.584
2009-03-31,19.458
2009-04-01,12.266
2009-04-02,34.766
2009-04-03,48.422
2009-04-04,46.593
2009-04-05,17.755
2009-04-06,62.72
2009-04-07,25.487
2009-04-08,17.572
2009-04-09,21.476
2009-04-10,17.555
2009-04-11,27.816
2009-04-12,65.946
2009-04-13,30.405
2009-04-14,22.204
2009-04-15,47.741
2009-04-16,48.107
2009-04-17,36.258
2009-04-18,15.383
2009-04-19,23.026
2009-04-20,22.743
2009-04-21,24.103
2009-04-22,9.936
2009-04-23,9.085
2009-04-24,33.967
2009-04-25,25.698
2009-04-26,18.255
2009-04-27,17.265
2009-04-28,8.154
2009-04-29,18.787
2009-04-30,34.975
2009-05-01,19.984
2009-05-02,13.368
2009-05-03,10.987
2009-05-04,5.398
2009-05-05,9.349
2009-05-06,11.839
2009-05-07,8.933
2009-05-08,7.6
2009-05-09,10.643
2009-05-10,6.467
2009-05-11,4.483
2009-05-12,8.335
2009-05-13,10.226
2009-05-14,14.564
2009-05-15,17.119
2009-05-16,7.201
2009-05-17,5.389
2009-05-18,7.182
2009-05-19,11.503
2009-05-20,8.677
2009-05-21,11.621
2009-05-22,8.27
2009-05-23,11.885
2009-05-24,9.402
2009-05-25,12.383
2009-05-26,10.209
2009-05-27,6.838
2009-05-28,7.327
2009-05-29,6.467
2009-05-30,9.421
2009-05-31,10.58
2009-06-01,12.572
2009-06-02,7.735
2009-06-03,6.865
2009-06-04,5.706
2009-06-05,4.529
2009-06-06,10.636
2009-06-07,12.563
2009-06-08,8.433
2009-06-09,9.32
2009-06-10,9.42
2009-06-11,4.819
2009-06-12,5.154
2009-06-13,11.005
2009-06-14,11.767
2009-06-15,11.938
2009-06-16,5.924
2009-06-17,
2009-06-18,6.892
2009-06-19,6.286
2009-06-20,5.996
2009-06-21,4.674
2009-06-22,4.447
2009-06-23,5.643
2009-06-24,10.797
2009-06-25,12.338
2009-06-26,12.074
2009-06-27,22.164
2009-06-28,21.253
2009-06-29,11.84
2009-06-30,11.439
2009-07-01,11.613
2009-07-02,14.51
2009-07-03,15.625
2009-07-04,8.651
2009-07-05,10.979
2009-07-06,8.108
2009-07-07,6.476
2009-07-08,5.092
2009-07-09,3.026
2009-07-10,4.655
2009-07-11,9.048
2009-07-12,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-18,
2009-07-19,
2009-07-20,
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-25,
2009-07-26,
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,7.228
2009-07-31,7.943
2009-08-01,10.769
2009-08-02,5.126
2009-08-03,7.438
2009-08-04,9.781
2009-08-05,13.976
2009-08-06,17.294
2009-08-07,20.319
2009-08-08,5.363
2009-08-09,6.874
2009-08-10,8.524
2009-08-11,4.556
2009-08-12,6.142
2009-08-13,3.959
2009-08-14,6.441
2009-08-15,15.182
2009-08-16,5.58
2009-08-17,6.504
2009-08-18,13.243
2009-08-19,15.879
2009-08-20,15.146
2009-08-21,6.974
2009-08-22,4.637
2009-08-23,10.76
2009-08-24,13.207
2009-08-25,5.407
2009-08-26,9.673
2009-08-27,7.935
2009-08-28,9.076
2009-08-29,6.421
2009-08-30,7.201
2009-08-31,10.045
2009-09-01,10.179
2009-09-02,9.175
2009-09-03,7.718
2009-09-04,6.984
2009-09-05,6.965
2009-09-06,6.213
2009-09-07,10.637
2009-09-08,17.584
2009-09-09,9.548
2009-09-10,6.123
2009-09-11,5.534
2009-09-12,5.833
2009-09-13,5.543
2009-09-14,5.58
2009-09-15,11.455
2009-09-16,6.867
2009-09-17,5.887
2009-09-18,10.245
2009-09-19,30.692
2009-09-20,9.057
2009-09-21,4.719
2009-09-22,10.48
2009-09-23,8.496
2009-09-24,3.578
2009-09-25,4.42
2009-09-26,8.885
2009-09-27,10.723
2009-09-28,6.502
2009-09-29,2.988
2009-09-30,3.26
2009-10-01,2.944
2009-10-02,4.094
2009-10-03,5.506
2009-10-04,4.619
2009-10-05,9.929
2009-10-06,13.312
2009-10-07,2.363
2009-10-08,2.772
2009-10-09,4.267
2009-10-10,6.15
2009-10-11,4.185
2009-10-12,2.772
2009-10-13,2.309
2009-10-14,2.69
2009-10-15,3.316
2009-10-16,4.72
2009-10-17,4.076
2009-10-18,5.209
2009-10-19,11.85
2009-10-20,18.026
2009-10-21,19.0
2009-10-22,31.878
2009-10-23,19.241
2009-10-24,12.193
2009-10-25,12.591
2009-10-26,6.559
2009-10-27,8.007
2009-10-28,18.938
2009-10-29,8.798
2009-10-30,30.598
2009-10-31,38.123
2009-11-01,22.507
2009-11-02,3.642
2009-11-03,10.301
2009-11-04,5.162
2009-11-05,5.381
2009-11-06,13.933
2009-11-07,8.097
