,0
2009-01-01,40.38
2009-01-02,7.65
2009-01-03,10.74
2009-01-04,5.46
2009-01-05,25.0
2009-01-06,31.67
2009-01-07,22.51
2009-01-08,11.32
2009-01-09,7.74
2009-01-10,8.2
2009-01-11,31.24
2009-01-12,52.89
2009-01-13,58.32
2009-01-14,104.77
2009-01-15,38.07
2009-01-16,5.68
2009-01-17,5.5
2009-01-18,17.48
2009-01-19,34.2
2009-01-20,30.65
2009-01-21,28.9
2009-01-22,15.87
2009-01-23,13.96
2009-01-24,16.2
2009-01-25,15.95
2009-01-26,15.87
2009-01-27,12.36
2009-01-28,9.39
2009-01-29,13.21
2009-01-30,6.95
2009-01-31,13.07
2009-02-01,14.92
2009-02-02,27.72
2009-02-03,8.0
2009-02-04,30.74
2009-02-05,45.08
2009-02-06,32.34
2009-02-07,22.53
2009-02-08,16.78
2009-02-09,16.44
2009-02-10,17.75
2009-02-11,16.6
2009-02-12,16.17
2009-02-13,13.52
2009-02-14,7.64
2009-02-15,3.68
2009-02-16,5.47
2009-02-17,6.9
2009-02-18,9.18
2009-02-19,26.44
2009-02-20,32.88
2009-02-21,39.96
2009-02-22,43.62
2009-02-23,38.7
2009-02-24,50.9
2009-02-25,15.94
2009-02-26,13.68
2009-02-27,2.24
2009-02-28,2.25
2009-03-01,4.69
2009-03-02,13.18
2009-03-03,41.15
2009-03-04,28.95
2009-03-05,21.94
2009-03-06,20.26
2009-03-07,21.82
2009-03-08,18.49
2009-03-09,17.51
2009-03-10,11.19
2009-03-11,4.35
2009-03-12,10.22
2009-03-13,18.96
2009-03-14,20.04
2009-03-15,
2009-03-16,18.26
2009-03-17,
2009-03-18,2.39
2009-03-19,4.56
2009-03-20,10.28
2009-03-21,12.2
2009-03-22,3.98
2009-03-23,3.84
2009-03-24,4.32
2009-03-25,13.74
2009-03-26,16.63
2009-03-27,24.62
2009-03-28,14.7
2009-03-29,7.27
2009-03-30,9.61
2009-03-31,16.91
2009-04-01,13.65
2009-04-02,44.46
2009-04-03,69.01
2009-04-04,36.82
2009-04-05,34.07
2009-04-06,24.59
2009-04-07,12.96
2009-04-08,25.13
2009-04-09,20.06
2009-04-10,12.04
2009-04-11,24.15
2009-04-12,20.0
2009-04-13,16.57
2009-04-14,12.19
2009-04-15,12.98
2009-04-16,16.75
2009-04-17,23.87
2009-04-18,9.05
2009-04-19,9.84
2009-04-20,9.97
2009-04-21,9.01
2009-04-22,12.88
2009-04-23,13.97
2009-04-24,7.19
