,0
1999-01-15,
1999-02-15,
1999-03-15,
1999-04-15,
1999-05-15,
1999-06-15,
1999-07-15,
1999-08-15,
1999-09-15,
1999-10-15,
1999-11-15,
1999-12-15,
2000-01-15,0.20689655172413796
2000-02-15,0.059259259259259255
2000-03-15,0.44516129032258067
2000-04-15,0.8733333333333334
2000-05-15,1.2709677419354837
2000-06-15,1.4551724137931035
2000-07-15,0.9517241379310345
2000-08-15,0.22580645161290322
2000-09-15,0.26666666666666666
2000-10-15,1.696551724137931
2000-11-15,2.726666666666666
2000-12-15,0.8838709677419353
