,0
1999-01-15,2.0754444444444444
1999-02-15,2.6999999999999993
1999-03-15,2.4429166666666666
1999-04-15,1.8713999999999995
1999-05-15,1.3611818181818176
1999-06-15,1.1689999999999998
1999-07-15,
1999-08-15,
1999-09-15,
1999-10-15,
1999-11-15,
1999-12-15,
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,1.0091073663003656
2010-10-15,1.1671745766871158
2010-11-15,1.4177339606060602
2010-12-15,1.873201975757575
2011-01-15,2.1740018428571433
2011-02-15,2.2502475116279066
2011-03-15,2.2312734475308633
2011-04-15,1.8380012578616347
2011-05-15,1.365587468309859
2011-06-15,0.9347756336633667
2011-07-15,0.7244535746753245
2011-08-15,0.6448038297213626
2011-09-15,0.7927623190789471
2011-10-15,1.0271898658146974
2011-11-15,1.4157466447368428
2011-12-15,2.229733537906135
2012-01-15,2.0928824935483856
2012-02-15,2.3752507745098037
2012-03-15,2.618376419354838
2012-04-15,2.0841268643216093
2012-05-15,1.4461034398734174
2012-06-15,1.0553716712328771
2012-07-15,
2012-08-15,
2012-09-15,1.1351932599277967
2012-10-15,1.3097489272151897
2012-11-15,1.5727383121693117
2012-12-15,2.003222294736841
2013-01-15,2.519353409937889
2013-02-15,2.661966446886445
2013-03-15,2.3740143719298237
2013-04-15,2.0138953577586203
2013-05-15,1.4526937640845072
2013-06-15,0.9559836388888889
2013-07-15,0.731277422594142
2013-08-15,0.6967374590163937
2013-09-15,0.8353521839080463
2013-10-15,1.0655163993610217
2013-11-15,1.4682621402214022
2013-12-15,2.1339996192307686
2014-01-15,2.0774992663551397
2014-02-15,2.7981666060606045
2014-03-15,2.510876456456454
2014-04-15,2.1716077128712867
2014-05-15,1.3482104770114947
2014-06-15,1.047567347133757
2014-07-15,0.7691314201388889
2014-08-15,0.8326271119999995
2014-09-15,1.033731280254776
2014-10-15,1.1880609310344827
2014-11-15,1.6684510371747203
