,0
1999-01-15,2.2161921561149245
1999-02-15,2.60889880952381
1999-03-15,3.7658040027605244
1999-04-15,1.7963259441707717
1999-05-15,1.140725806451613
1999-06-15,1.4677083333333336
1999-07-15,0.8542101220793923
1999-08-15,0.5846014492753624
1999-09-15,
1999-10-15,0.9430107526881721
1999-11-15,1.5468055555555558
1999-12-15,2.0022849462365593
2000-01-15,1.6352558479532167
2000-02-15,1.5775862068965518
2000-03-15,1.1896627565982405
2000-04-15,1.4151757233994076
2000-05-15,1.2351858345021036
2000-06-15,0.5651811594202898
2000-07-15,0.3442204301075268
2000-08-15,0.620144927536232
2000-09-15,1.0454166666666667
2000-10-15,2.0188218390804598
2000-11-15,
2000-12-15,2.7461664329125757
2001-01-15,2.966944444444444
2001-02-15,2.1025297619047616
2001-03-15,2.09758064516129
2001-04-15,1.445972222222222
2001-05-15,1.1862500000000002
2001-06-15,1.075138888888889
2001-07-15,1.00907279314888
2001-08-15,0.7631720430107525
2001-09-15,1.0648148148148147
2001-10-15,1.3155303030303032
2001-11-15,2.046462020965802
2001-12-15,2.556666666666666
2002-01-15,1.8671380471380477
2002-02-15,1.3497023809523807
2002-03-15,1.580119745845552
2002-04-15,1.6448863636363638
2002-05-15,1.0064655172413794
2002-06-15,0.5976259489302967
2002-07-15,0.518221131369799
2002-08-15,0.5506720430107527
2002-09-15,0.7346917450365724
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,1.4864247311827954
2003-04-15,1.8052083333333335
2003-05-15,1.2944504830917873
2003-06-15,0.7590277777777776
2003-07-15,0.4445075757575758
2003-08-15,0.5745091164095372
2003-09-15,1.088371598639456
2003-10-15,1.0345307917888562
2003-11-15,1.3361111111111112
2003-12-15,1.2705273892773894
2004-01-15,2.505866977225673
2004-02-15,2.280316091954023
2004-03-15,2.0309139784946235
2004-04-15,1.127529761904762
2004-05-15,2.5902525252525255
2004-06-15,1.4913888888888887
2004-07-15,1.1539529233428254
2004-08-15,0.8630009775171065
2004-09-15,0.9294909643943461
2004-10-15,1.5536290322580646
2004-11-15,3.0119122257053292
2004-12-15,2.213575268817205
2005-01-15,1.563066853669939
2005-02-15,1.6637345679012345
2005-03-15,1.554166666666667
2005-04-15,1.1747222222222222
2005-05-15,0.917361111111111
2005-06-15,0.4373827561327561
2005-07-15,0.3356065918653577
2005-08-15,0.4223362658846529
2005-09-15,0.7516062801932367
2005-10-15,1.2365656565656562
2005-11-15,1.4898809523809522
2005-12-15,2.300403225806452
2006-01-15,2.170724637681159
2006-02-15,
2006-03-15,1.5336133069828721
2006-04-15,1.842638888888889
2006-05-15,1.2952956989247315
2006-06-15,1.1766364734299517
2006-07-15,1.1684139784946237
2006-08-15,1.0576612903225808
2006-09-15,1.1681944444444443
2006-10-15,1.0596774193548386
2006-11-15,1.003456790123457
2006-12-15,1.1859155464418623
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,1.9314789196310933
2009-02-15,1.8038819875776395
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,0.2610084541062802
2009-07-15,0.5686619247979695
2009-08-15,0.34663978494623654
2009-09-15,0.43623585934305575
2009-10-15,0.502530193236715
2009-11-15,1.0223792270531404
2009-12-15,1.4159244974287049
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,3.0934435483870977
2012-02-15,2.64271551724138
2012-03-15,1.0557789855072466
2012-04-15,0.888013888888889
2012-05-15,0.6919516129032256
2012-06-15,0.39113888888888887
2012-07-15,0.36276706404862086
2012-08-15,0.3479956649241363
2012-09-15,0.5845425247902365
2012-10-15,0.8088997088699051
2012-11-15,1.0998852108036892
2012-12-15,3.244650537634408
2013-01-15,1.5466404297851077
2013-02-15,1.6190647939017502
2013-03-15,1.489191582727698
2013-04-15,1.398361111111111
2013-05-15,1.3062661290322584
2013-06-15,0.9611249999999999
2013-07-15,0.6948472098261719
2013-08-15,0.7478225806451613
2013-09-15,0.800068236714976
2013-10-15,1.0711424731182797
2013-11-15,1.0697714646464644
2013-12-15,1.1673532608695654
2014-01-15,1.4657096774193548
2014-02-15,1.9543920068027212
2014-03-15,1.510047919588593
2014-04-15,0.9942402832674572
2014-05-15,0.803731182795699
2014-06-15,0.5100537988581467
2014-07-15,0.518899640818119
2014-08-15,0.5608073671497583
2014-09-15,0.5746416666666667
2014-10-15,0.8474496366186407
2014-11-15,1.012930555555556
2014-12-15,1.0128160919540228
2015-01-15,1.22909178187404
2015-02-15,1.2433630952380947
2015-03-15,1.2614516129032258
2015-04-15,0.7101187739463604
2015-05-15,0.6865188172043011
2015-06-15,0.5445039363034531
2015-07-15,0.43131194483403457
2015-08-15,0.5172159887798036
2015-09-15,0.6333611111111112
2015-10-15,0.8919430808789154
2015-11-15,1.098377976190476
2015-12-15,0.9252419354838709
2016-01-15,2.102557795698925
2016-02-15,1.3908572796934866
