,0
2001-05-15,0.09807103541852746
2001-06-15,
2001-07-15,
2001-08-15,0.24517758854631866
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,0.0768350431070061
2002-02-15,0.19372679507379637
2002-03-15,0.18802304264395128
2002-04-15,
2002-05-15,
2002-06-15,0.16005465809499958
2002-07-15,0.02710666459315357
2002-08-15,
2002-09-15,0.05388993072981197
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,0.029934723556617318
2003-09-15,0.11611522108408912
2003-10-15,
2003-11-15,
2003-12-15,0.04364031297912188
2004-01-15,0.9717740919428901
2004-02-15,
2004-03-15,0.15762751057482194
2004-04-15,0.18674317876292923
2004-05-15,0.22318600683635093
2004-06-15,0.17799553735407903
2004-07-15,0.019715404594238112
2004-08-15,0.19467491339966958
2004-09-15,0.07538558269856852
2004-10-15,0.18409238503942496
2004-11-15,0.17765804026452217
2004-12-15,0.5420009328340667
2005-01-15,
2005-02-15,0.6148541444278394
2005-03-15,1.622071329783847
2005-04-15,1.0052133655157833
2005-05-15,1.1944786658542428
2005-06-15,1.8220529185263477
2005-07-15,1.314248470891274
2005-08-15,
2005-09-15,1.0165556863188494
