,0
2000-01-15,124.17857142857139
2000-02-15,61.78571428571428
2000-03-15,82.4285714285714
2000-04-15,247.9285714285714
2000-05-15,186.1428571428571
2000-06-15,200.52380952380943
2000-07-15,207.34285714285707
2000-08-15,151.19047619047615
2000-09-15,171.28571428571425
2000-10-15,155.8928571428571
2000-11-15,130.28571428571425
2000-12-15,113.57142857142853
2001-01-15,207.24999999999994
2001-02-15,181.85714285714283
2001-03-15,74.47619047619047
2001-04-15,85.38571428571424
2001-05-15,56.99999999999998
2001-06-15,34.60714285714285
2001-07-15,379.28571428571416
2001-08-15,581.0714285714283
2001-09-15,10.952380952380949
2001-10-15,96.05714285714282
2001-11-15,53.714285714285694
2001-12-15,51.42857142857141
2002-01-15,52.28571428571427
2002-02-15,130.60714285714283
2002-03-15,138.95238095238093
2002-04-15,116.17142857142854
2002-05-15,65.10714285714285
2002-06-15,56.10714285714283
2002-07-15,217.62857142857138
2002-08-15,156.3571428571428
2002-09-15,209.19999999999996
2002-10-15,49.7142857142857
2002-11-15,73.6190476190476
2002-12-15,66.31428571428569
2003-01-15,64.5238095238095
2003-02-15,38.749999999999986
2003-03-15,55.73214285714285
2003-04-15,0.0
2003-05-15,248.09523809523807
2003-06-15,49.39999999999999
2003-07-15,297.7142857142856
2003-08-15,108.85714285714282
2003-09-15,101.94285714285712
2003-10-15,161.92857142857133
2003-11-15,114.76190476190474
2003-12-15,133.57142857142856
2004-01-15,
2004-02-15,145.21428571428567
2004-03-15,50.85714285714284
2004-04-15,325.4285714285713
2004-05-15,0.0
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,10.285714285714283
2009-02-15,91.57142857142854
2009-03-15,37.14285714285713
2009-04-15,43.571428571428555
2009-05-15,183.14285714285705
2009-06-15,153.57142857142853
2009-07-15,79.39285714285712
2009-08-15,356.9999999999999
2009-09-15,336.38095238095235
2009-10-15,52.642857142857125
2009-11-15,55.45714285714284
2009-12-15,138.85714285714283
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,53.2142857142857
2011-11-15,67.35714285714283
2011-12-15,163.85714285714283
2012-01-15,48.1142857142857
2012-02-15,57.10714285714284
2012-03-15,53.60714285714283
2012-04-15,99.46428571428568
2012-05-15,150.49999999999994
2012-06-15,210.89285714285708
2012-07-15,149.99999999999994
2012-08-15,22.285714285714278
2012-09-15,232.7857142857142
2012-10-15,159.28571428571425
2012-11-15,129.14285714285708
2012-12-15,83.68571428571425
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,88.47619047619044
2015-02-15,58.178571428571416
2015-03-15,54.22857142857142
2015-04-15,329.53571428571416
2015-05-15,96.24999999999997
2015-06-15,169.24999999999997
2015-07-15,51.499999999999986
2015-08-15,157.6071428571428
2015-09-15,145.85714285714283
2015-10-15,63.23809523809522
2015-11-15,40.333333333333314
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,162.01095238095232
2017-12-15,46.59449999999999
2018-01-15,135.35971428571423
2018-02-15,38.999999999999986
2018-03-15,209.28571428571422
2018-04-15,61.33333333333332
2018-05-15,30.33333333333333
2018-06-15,124.09523809523807
2018-07-15,173.31428571428566
2018-08-15,261.52380952380946
2018-09-15,145.6785714285714
2018-10-15,80.2285714285714
