,0
1999-01-15,
1999-02-15,
1999-03-15,
1999-04-15,
1999-05-15,
1999-06-15,
1999-07-15,
1999-08-15,
1999-09-15,
1999-10-15,
1999-11-15,
1999-12-15,
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,340.5416666666666
2007-02-15,366.14285714285705
2007-03-15,20.39999999999999
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,0.0
2007-08-15,0.0
2007-09-15,0.0
2007-10-15,0.0
2007-11-15,0.0
2007-12-15,
2008-01-15,158.76190476190473
2008-02-15,
2008-03-15,134.90476190476187
2008-04-15,
2008-05-15,
2008-06-15,0.0
2008-07-15,0.0
2008-08-15,461.3636363636362
2008-09-15,354.04347826086945
2008-10-15,203.59999999999997
2008-11-15,95.33333333333331
2008-12-15,
2009-01-15,869.7391304347824
2009-02-15,236.99999999999997
2009-03-15,142.37931034482756
2009-04-15,468.6666666666665
2009-05-15,502.2499999999999
2009-06-15,361.9166666666666
2009-07-15,54.49999999999998
2009-08-15,44.68965517241378
2009-09-15,0.0
2009-10-15,501.6399999999999
2009-11-15,
2009-12-15,796.4583333333331
