,0
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,0.0
2004-02-15,24109.933793103442
2004-03-15,21059.302580645155
2004-04-15,3444.5879999999984
2004-05-15,7283.431612903223
2004-06-15,9411.176333333331
2004-07-15,11209.755806451609
2004-08-15,6828.538709677417
2004-09-15,7300.6676666666635
2004-10-15,3173.5041935483855
2004-11-15,5661.360333333332
2004-12-15,10537.086999999998
2005-01-15,0.0
2005-02-15,5447.089285714284
2005-03-15,4541.335161290322
2005-04-15,7837.90933333333
2005-05-15,6817.840645161287
2005-06-15,8402.99633333333
2005-07-15,3715.305483870967
2005-08-15,9047.431612903221
2005-09-15,8707.054666666663
2005-10-15,12346.107096774189
2005-11-15,582.5056666666665
2005-12-15,0.0
